Unnamed: 0,levels,homeType,postingSeason,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,parking,hasGarage,pool,spa,Age,price
8314,1,SINGLE_FAMILY,summer,La Mirada,1958,1526.0,2.0,3.0,1,1,0,0,64,750000.0
8315,1,SINGLE_FAMILY,summer,La Mirada,1957,1477.0,2.0,3.0,1,1,0,0,65,340000.0
8316,2,CONDO,summer,La Mirada,1972,634.0,1.0,1.0,1,1,0,0,50,290888.0
8318,1,SINGLE_FAMILY,summer,La Mirada,1959,1586.0,2.0,3.0,1,1,0,0,63,775000.0
8319,1,SINGLE_FAMILY,summer,Whittier,1948,1165.0,2.0,3.0,1,1,0,0,74,589900.0
8320,1,SINGLE_FAMILY,summer,Manhattan Beach,1964,2652.0,3.0,4.0,1,1,0,0,58,2799000.0
8322,3+,TOWNHOUSE,summer,Manhattan Beach,2008,1817.0,3.0,3.0,1,1,0,0,14,1849500.0
8323,1,SINGLE_FAMILY,summer,Inglewood,1927,960.0,1.0,2.0,1,1,0,0,95,615000.0
8324,0,SINGLE_FAMILY,summer,Inglewood,1939,1759.0,2.0,2.0,1,1,1,0,83,899900.0
8326,2,TOWNHOUSE,summer,Redondo Beach,1988,1827.0,4.0,3.0,1,1,0,0,34,975000.0
8329,3+,TOWNHOUSE,summer,Lawndale,1985,1345.0,3.0,3.0,1,1,0,1,37,669000.0
8330,1,SINGLE_FAMILY,summer,Hawthorne,1971,1710.0,2.0,3.0,1,1,0,0,51,479000.0
8331,1,SINGLE_FAMILY,summer,Hawthorne,1944,1490.0,2.0,3.0,1,0,0,0,78,850000.0
8332,0,SINGLE_FAMILY,summer,Hollister,1877,927.0,1.0,2.0,0,0,0,0,145,799999.0
8334,0,SINGLE_FAMILY,summer,Hollister,2018,2131.0,3.0,4.0,0,0,0,0,4,799000.0
8335,0,SINGLE_FAMILY,summer,Hollister,2014,2376.0,3.0,5.0,0,0,0,0,8,875000.0
8336,0,SINGLE_FAMILY,spring,Hollister,1925,405.0,1.0,1.0,0,0,0,0,97,259900.0
8337,0,SINGLE_FAMILY,spring,Hollister,1985,2045.0,3.0,4.0,0,0,0,0,37,999988.0
8338,0,SINGLE_FAMILY,summer,Sacramento,1979,1916.0,3.0,4.0,1,0,1,0,43,450000.0
8339,0,SINGLE_FAMILY,summer,Sacramento,2002,3753.0,3.0,5.0,1,0,0,0,20,715000.0
8340,1,SINGLE_FAMILY,summer,Sacramento,2003,1714.0,2.0,4.0,1,1,0,0,19,579000.0
8342,0,SINGLE_FAMILY,summer,Sacramento,1990,1282.0,2.0,2.0,1,0,0,1,32,310000.0
8343,0,SINGLE_FAMILY,summer,Sacramento,2017,2190.0,4.0,4.0,1,0,0,0,5,578000.0
8345,0,SINGLE_FAMILY,summer,Sacramento,1979,1818.0,3.0,4.0,1,0,0,0,43,419000.0
8346,0,SINGLE_FAMILY,summer,Sacramento,1988,1956.0,3.0,4.0,1,0,0,0,34,489000.0
8347,0,SINGLE_FAMILY,summer,Sacramento,1996,1495.0,2.0,3.0,1,0,1,0,26,430000.0
8348,0,SINGLE_FAMILY,summer,Sacramento,1963,1310.0,2.0,3.0,1,0,0,0,59,369000.0
8350,0,SINGLE_FAMILY,summer,Sacramento,1988,1589.0,2.0,4.0,1,0,0,0,34,443000.0
8351,0,SINGLE_FAMILY,summer,Sacramento,1975,1335.0,2.0,3.0,1,0,0,0,47,399999.0
8353,0,SINGLE_FAMILY,summer,Sacramento,1956,2317.0,3.0,3.0,1,1,0,0,66,675000.0
8354,0,SINGLE_FAMILY,summer,Sacramento,1987,1379.0,3.0,3.0,1,0,0,0,35,398000.0
8355,0,SINGLE_FAMILY,summer,Sacramento,1977,1829.0,3.0,4.0,1,0,1,0,45,549900.0
8357,0,SINGLE_FAMILY,summer,Sacramento,1955,1358.0,2.0,3.0,1,0,0,0,67,515995.0
8358,0,SINGLE_FAMILY,summer,Sacramento,1992,1282.0,2.0,2.0,1,0,1,0,30,279777.0
8360,0,SINGLE_FAMILY,summer,Stockton,1925,1604.0,1.0,3.0,1,0,0,0,97,450000.0
8361,0,SINGLE_FAMILY,summer,Stockton,1947,1357.0,1.0,2.0,1,0,0,0,75,373000.0
